Row,Column,Lat,Long,Height
116,64,-32.000,-179.623,1658.600
116,65,-32.000,-179.016,1988.900
116,66,-32.000,-178.410,2659.500
116,67,-32.000,-177.803,2972.000
116,68,-32.000,-177.196,2822.900
116,69,-32.000,-176.589,2912.900
116,70,-32.000,-175.982,3349.200
116,71,-32.000,-175.375,3338.000
116,72,-32.000,-174.768,3403.100
116,73,-32.000,-174.162,3502.700
116,74,-32.000,-173.555,3543.000
116,75,-32.000,-172.948,3688.700
116,76,-32.000,-172.341,3642.200
116,77,-32.000,-171.734,3509.400
116,78,-32.000,-171.127,3481.600
116,79,-32.000,-170.521,3641.000
116,80,-32.000,-169.914,3746.600
116,81,-32.000,-169.307,3717.200
116,82,-32.000,-168.700,3499.100
116,83,-32.000,-168.093,3181.400
116,84,-32.000,-167.486,3112.900
116,85,-32.000,-166.880,3438.800
116,86,-32.000,-166.273,3536.700
116,87,-32.000,-165.666,3644.700
116,88,-32.000,-165.059,3825.700
116,89,-32.000,-164.452,3749.100
116,90,-32.000,-163.845,3624.200
116,91,-32.000,-163.239,3787.600
116,92,-32.000,-162.632,3912.600
116,93,-32.000,-162.025,4045.100
116,94,-32.000,-161.418,4135.400
116,95,-32.000,-160.811,4234.200
116,96,-32.000,-160.204,4181.500
116,97,-32.000,-159.598,4300.900
116,98,-32.000,-158.991,4308.900
116,99,-32.000,-158.384,4253.500
116,100,-32.000,-157.777,4288.400
116,101,-32.000,-157.170,4247.200
116,102,-32.000,-156.563,4279.800
116,103,-32.000,-155.957,4299.100
116,104,-32.000,-155.350,4204.600
116,105,-32.000,-154.743,3957.900
116,106,-32.000,-154.136,3702.100
116,107,-32.000,-153.529,3606.400
116,108,-32.000,-152.922,3579.800
116,109,-32.000,-152.316,3520.000
116,110,-32.000,-151.709,3572.900
116,111,-32.000,-151.102,3562.700
116,112,-32.000,-150.495,3426.300
116,113,-32.000,-149.888,3477.800
116,114,-32.000,-149.281,3579.700
116,115,-32.000,-148.675,3552.500
116,116,-32.000,-148.068,3445.400
116,117,-32.000,-147.461,3442.400
116,118,-32.000,-146.854,3546.500
116,119,-32.000,-146.247,3617.900
116,120,-32.000,-145.640,3444.400
116,121,-32.000,-145.034,3641.000
116,122,-32.000,-144.427,3508.400
116,123,-32.000,-143.820,3383.100
116,124,-32.000,-143.213,3519.800
116,125,-32.000,-142.606,3646.200
116,126,-32.000,-141.999,3294.600
116,127,-32.000,-141.393,3364.800
116,128,-32.000,-140.786,3397.000
116,129,-32.000,-140.179,3372.900
116,130,-32.000,-139.572,3408.000
116,131,-32.000,-138.965,3453.400
116,132,-32.000,-138.358,3398.800
116,133,-32.000,-137.752,3045.500
116,134,-32.000,-137.145,3196.600
116,135,-32.000,-136.538,3392.100
116,136,-32.000,-135.931,3300.300
116,137,-32.000,-135.324,3284.000
116,138,-32.000,-134.717,2871.600
116,139,-32.000,-134.111,3118.600
116,140,-32.000,-133.504,3223.200
116,141,-32.000,-132.897,3032.700
116,142,-32.000,-132.290,3183.600
116,143,-32.000,-131.683,3266.600
116,144,-32.000,-131.076,3267.000
116,145,-32.000,-130.470,3202.900
116,146,-32.000,-129.863,2991.200
116,147,-32.000,-129.256,2728.200
116,148,-32.000,-128.649,2660.100
116,149,-32.000,-128.042,2783.300
116,150,-32.000,-127.435,2962.300
116,151,-32.000,-126.829,2860.100
116,152,-32.000,-126.222,2759.900
116,153,-32.000,-125.615,2815.600
116,154,-32.000,-125.008,2819.400
116,155,-32.000,-124.401,2754.900
116,156,-32.000,-123.794,2780.100
116,157,-32.000,-123.188,2823.900
116,158,-32.000,-122.581,2822.000
116,159,-32.000,-121.974,2885.200
116,160,-32.000,-121.367,2909.400
116,161,-32.000,-120.760,2896.200
116,162,-32.000,-120.153,2947.800
116,163,-32.000,-119.547,2884.700
116,164,-32.000,-118.940,2740.800
116,165,-32.000,-118.333,2728.400
116,166,-32.000,-117.726,2803.000
116,167,-32.000,-117.119,2754.900
116,168,-32.000,-116.512,2650.100
116,169,-32.000,-115.905,2581.100
116,170,-32.000,-115.299,2232.700
116,171,-32.000,-114.692,1980.900
116,172,-32.000,-114.085,2358.700
116,173,-32.000,-113.478,2749.200
116,174,-32.000,-112.871,2822.300
116,175,-32.000,-112.264,2974.800
116,176,-32.000,-111.658,2424.100
116,177,-32.000,-111.051,2613.100
116,178,-32.000,-110.444,2577.500
116,179,-32.000,-109.837,2472.100
116,180,-32.000,-109.230,2594.300
116,181,-32.000,-108.623,2611.000
116,182,-32.000,-108.017,2483.200
116,183,-32.000,-107.410,2383.900
116,184,-32.000,-106.803,2248.000
116,185,-32.000,-106.196,2251.900
116,186,-32.000,-105.589,2627.200
116,187,-32.000,-104.982,2425.700
116,188,-32.000,-104.376,2213.100
116,189,-32.000,-103.769,2226.800
116,190,-32.000,-103.162,2237.200
116,191,-32.000,-102.555,2308.200
116,192,-32.000,-101.948,2453.000
116,193,-32.000,-101.341,2690.400
116,194,-32.000,-100.735,2651.400
116,195,-32.000,-100.128,2678.000
116,196,-32.000,-99.521,2755.600
116,197,-32.000,-98.914,2843.600
116,198,-32.000,-98.307,2661.000
116,199,-32.000,-97.700,2806.100
116,200,-32.000,-97.094,3099.200
116,201,-32.000,-96.487,3162.500
116,202,-32.000,-95.880,3098.500
116,203,-32.000,-95.273,3046.200
116,204,-32.000,-94.666,2965.000
116,205,-32.000,-94.059,2944.400
116,206,-32.000,-93.453,2880.800
116,207,-32.000,-92.846,2924.400
116,208,-32.000,-92.239,2937.000
116,209,-32.000,-91.632,2916.500
116,210,-32.000,-91.025,2980.100
116,211,-32.000,-90.418,3059.300
116,212,-32.000,-89.812,3022.600
116,213,-32.000,-89.205,3032.400
116,214,-32.000,-88.598,2971.600
116,215,-32.000,-87.991,2997.800
116,216,-32.000,-87.384,3049.100
116,217,-32.000,-86.777,3228.900
116,218,-32.000,-86.171,3229.800
116,219,-32.000,-85.564,3340.300
116,220,-32.000,-84.957,3370.200
116,221,-32.000,-84.350,3304.300
116,222,-32.000,-83.743,3296.300
116,223,-32.000,-83.136,3333.700
116,224,-32.000,-82.530,2877.700
116,225,-32.000,-81.923,3103.700
116,226,-32.000,-81.316,3069.100
116,227,-32.000,-80.709,2993.800
116,228,-32.000,-80.102,2928.700
116,229,-32.000,-79.495,2717.100
116,230,-32.000,-78.889,2247.200
116,231,-32.000,-78.282,2183.100
116,232,-32.000,-77.675,2107.200
116,233,-32.000,-77.068,2259.100
116,234,-32.000,-76.461,2963.600
116,235,-32.000,-75.854,3167.000
116,236,-32.000,-75.248,3029.100
116,237,-32.000,-74.641,3295.900
116,238,-32.000,-74.034,3220.400
116,239,-32.000,-73.427,3324.800
116,240,-32.000,-72.820,3415.500
116,241,-32.000,-72.213,3385.700
116,242,-32.000,-71.607,3309.200
116,243,-32.000,-71.000,3438.600
116,244,-32.000,-70.393,3424.000
116,245,-32.000,-69.786,3399.200
116,246,-32.000,-69.179,3401.400
116,247,-32.000,-68.572,3325.200
116,248,-32.000,-67.966,3484.600
116,249,-32.000,-67.359,3670.200
116,250,-32.000,-66.752,3672.600
116,251,-32.000,-66.145,3660.200
116,252,-32.000,-65.538,3617.700
116,253,-32.000,-64.931,3608.500
116,254,-32.000,-64.325,3025.100
116,255,-32.000,-63.718,2983.000
116,256,-32.000,-63.111,2982.100
116,257,-32.000,-62.504,3287.500
116,258,-32.000,-61.897,3146.200
116,259,-32.000,-61.290,3192.300
116,260,-32.000,-60.684,3377.500
116,261,-32.000,-60.077,3224.200
116,262,-32.000,-59.470,3370.100
116,263,-32.000,-58.863,3073.200
116,264,-32.000,-58.256,3287.700
116,265,-32.000,-57.649,3343.600
116,266,-32.000,-57.042,3084.000
116,267,-32.000,-56.436,3457.200
116,268,-32.000,-55.829,3683.900
